mbl_cod,rsp_id,RespNum,Day,PingNum,SubjDay,timezone_offset,actual_start_local,SLEEP,HAPPY,EXCITED,CALM,RELAXED,PROUD,IRRITABLE,ANXIOUS,SAD,BORED,LONELY,NOSTALGIA,FATIGUE,PAIN,X_VID,MOOD,ARO,EMOT_EXP,DISTR_NO,WOND_NO,REAPPR_NO,ACCEPT_NO,SPIRIT_NO,AVOID_EXPRESS_NO,AVOID_SIT_NO,OTH_STRAT_NO,NONE_STRAT_NO,DISTR_YES,WOND_YES,REAPPR_YES,ACCEPT_YES,SPIRIT_YES,AVOID_EXPRESS_YES,AVOID_SIT_YES,OTH_STRAT_YES,NONE_STRAT_YES,FEEL_BETTER,GET_A_TASK_DONE,GET_ALONG,EXT_REWARD,RIGHT_WAY,HELP_OTH,BE_STR,OTH_MOTI,NONE_MOTI,ER_EFFECT,X3_DOT_UNDERSTAND,INTRODUCTION_1,INTRODUCTION_2,INTRODUCTION_3,INSTRUCTIONS_4,SYMBOLSEARCH_DONE,NONE_INT,DOT_INT,MATCH_INT,WORK,VISITING_FRIEND,HOSPITAL,PUBLIC_SPACE,IN_NATURE,SPIRITUAL_SETTING,CLASS,HOME,OTHER_WHERE,ALONE,PET,SIG_OTH,STRANGER,FAMILY,FRIENDS,CO_WORKER,ACT_CHECK,GAR_CHECK,LONGITUDE,LATITUDE,PositiveEmotAvg,NegativeEmotAvg,ThreeDot_Score,CorrMedMS,IncorrMedMS,AllMedMS,NumCorr,NumIncorr,OTHER_STRAT_NO,PERF_REFL,MORNING,AFTERNOON,EVENING,DOT_HUNT_COMPARISON,MATCH_ATTACK_COMPARISON,WORKOUT,PING_1,PING_2,PING_3,PING_4,PING_5,NONE_MISSED,PM2.5_mean,PM2.5_min,PM2.5_max,PM10_mean,PM10_min,PM10_max
13070572,63960,27,5,3,63960_5,-480,15-11-2024 13:08,,6,5,6,5,4,1,2,1,1,1,38,25,54,vid_9856003_1731704400.mp4,6,6,2,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,,,34.020487,-118.28777,5.2,1.2,6,1385,1377.5,1385,10,2,,,,,,,,,,,,,,,8.383004552,8,8.8,29.64795144,20,31
13070572,63960,28,5,4,63960_5,-480,15-11-2024 15:05,,6,5,6,5,6,4,2,2,1,1,35,68,1,vid_9857003_1731711600.mp4,6,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,0,0,5.6,2,0,1237,1416,1253.5,11,1,,,,,,,,,,,,,,,8.315652174,8.3,11.9,31.01014493,30,34
13070572,63960,29,5,5,63960_5,-480,15-11-2024 17:00,,6,5,5,5,3,2,1,1,1,1,20,59,14,vid_9858003_1731718800.mp4,5,1,2,2,2,2,2,2,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,,,33.985644,-118.437713,4.8,1.2,4,1260.5,1213,1260.5,10,2,,,,,,,,,,,,,,,11.54897959,10.7,11.9,32.57142857,28,33
13070572,63960,30,6,1,63960_6,-480,16-11-2024 09:12,3,6,5,6,6,5,2,2,1,1,1,12,34,14,vid_9852145_1731776400.mp4,5,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,0,0,5.6,1.4,2,1277,1403,1340,11,1,,,,,,,,,,,,,,,11.72,10.2,12.1,23.6,18,25
13070572,63960,31,6,2,63960_6,-480,16-11-2024 11:18,,6,2,5,5,2,2,3,1,1,1,18,34,1,vid_9854132_1731783600.mp4,3,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,,,0,0,4,1.6,4,1786,1124,1568,10,2,,,,,,,,,,,,,,,10.61666667,9.8,12.4,21.16666667,18,25
13070572,63960,32,6,3,63960_6,-480,16-11-2024 13:18,,6,3,6,6,4,3,2,1,1,1,22,76,18,vid_9856003_1731790800.mp4,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,,0,0,5,1.6,0,1209.5,1002.5,1118,10,2,,,,,,,,,,,,,,,9.5,9.5,9.5,15,15,15
13070572,63960,33,6,4,63960_6,-480,16-11-2024 15:19,,5,3,6,7,2,3,2,1,1,1,12,76,1,vid_9857003_1731798000.mp4,6,2,2,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,,0,0,4.6,1.6,3,1585,1385,1543.5,11,1,,,,,,,,,,,,,,,6.7,6.7,6.7,19,19,19
13070572,63960,34,6,5,63960_6,-480,16-11-2024 17:30,,5,3,6,6,3,1,3,1,1,1,17,61,1,vid_9858003_1731805200.mp4,6,1,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,0,0,4.6,1.4,1,1361,,1361,12,0,,,,,,,,,,,,,,,8.066666667,7.6,8.3,17,15,18
13070572,63960,35,6,6,63960_6,-480,16-11-2024 19:00,,6,3,6,6,4,2,3,1,1,1,12,72,3,vid_9860163_1731812400.mp4,6,1,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,,0,0,5,1.6,1,1416.5,1324.5,1366,10,2,,1,1,2,3,2,2,2,2,2,2,2,2,0,4.471428571,3.5,5.2,13.42857143,10,16
13070572,63960,36,7,1,63960_7,-480,17-11-2024 09:15,4,6,3,6,6,4,2,3,1,1,1,15,19,25,vid_9852145_1731862800.mp4,6,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,6,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,0,0,5,1.6,3,1435,1298,1308,9,3,,,,,,,,,,,,,,,11.775,11,13.9,17,16,18
13070572,63960,37,7,2,63960_7,-480,17-11-2024 11:27,,6,4,6,6,5,2,4,1,1,1,18,41,1,vid_9854132_1731870000.mp4,6,2,2,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,,,34.033844,-118.358414,5.4,1.8,0,1392,949,1371,11,1,,,,,,,,,,,,,,,7.508844065,6.7,8,14.3553142,10,17
13070572,63960,38,7,3,63960_7,-480,17-11-2024 13:04,,6,5,6,5,3,1,1,1,1,1,14,8,1,vid_9856003_1731877200.mp4,6,1,2,2,2,1,2,1,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,,,34.020728,-118.289137,5,1,5,1395,1679,1416,9,3,,,,,,,,,,,,,,,7.139285714,6.7,7.3,12.19642857,10,13
13070572,63960,39,7,4,63960_7,-480,17-11-2024 15:00,,5,4,2,2,3,1,3,1,1,1,22,37,8,vid_9857003_1731884400.mp4,7,1,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,,,34.019532,-118.283781,3.2,1.4,0,1301.5,,1301.5,12,0,,,,,,,,,,,,,,,,,,,,
